modelo,params,mean_train_score,mean_test_score,std_test_score,rank_test_score
knn,"{'clasificador__n_neighbors': 7, 'clasificador__p': 2, 'clasificador__weights': 'distance'}",1.0,0.9578817733990148,0.040520048714638005,7
knn,"{'clasificador__n_neighbors': 11, 'clasificador__p': 2, 'clasificador__weights': 'uniform'}",0.9683123738549915,0.9578817733990148,0.040520048714638005,7
knn,"{'clasificador__n_neighbors': 11, 'clasificador__p': 2, 'clasificador__weights': 'distance'}",1.0,0.9578817733990148,0.040520048714638005,7
knn,"{'clasificador__n_neighbors': 5, 'clasificador__p': 2, 'clasificador__weights': 'uniform'}",0.9770998292190655,0.9507389162561577,0.035274169431002235,11
knn,"{'clasificador__n_neighbors': 5, 'clasificador__p': 2, 'clasificador__weights': 'distance'}",1.0,0.9507389162561577,0.035274169431002235,11
knn,"{'clasificador__n_neighbors': 9, 'clasificador__p': 2, 'clasificador__weights': 'uniform'}",0.9665579878900792,0.9507389162561577,0.035274169431002235,11
knn,"{'clasificador__n_neighbors': 9, 'clasificador__p': 2, 'clasificador__weights': 'distance'}",1.0,0.9507389162561577,0.035274169431002235,11
knn,"{'clasificador__n_neighbors': 3, 'clasificador__p': 1, 'clasificador__weights': 'uniform'}",0.9823785126533146,0.9504926108374384,0.028216755648511692,15
knn,"{'clasificador__n_neighbors': 3, 'clasificador__p': 1, 'clasificador__weights': 'distance'}",1.0,0.9504926108374384,0.028216755648511692,15
knn,"{'clasificador__n_neighbors': 5, 'clasificador__p': 1, 'clasificador__weights': 'uniform'}",0.9806396522279149,0.9435960591133006,0.03542348056817102,17
knn,"{'clasificador__n_neighbors': 5, 'clasificador__p': 1, 'clasificador__weights': 'distance'}",1.0,0.9435960591133006,0.03542348056817102,17
knn,"{'clasificador__n_neighbors': 3, 'clasificador__p': 2, 'clasificador__weights': 'uniform'}",0.9735910572892408,0.9369458128078818,0.025423205775047617,19
knn,"{'clasificador__n_neighbors': 3, 'clasificador__p': 2, 'clasificador__weights': 'distance'}",1.0,0.9369458128078818,0.025423205775047617,19
logistic_regression,{'clasificador__C': 1.0},1.0,0.9790640394088669,0.027713464392187602,1
logistic_regression,{'clasificador__C': 0.01},0.9841639496972518,0.9788177339901478,0.017301092934813727,2
logistic_regression,{'clasificador__C': 0.1},0.9947213165657507,0.972167487684729,0.0402586941517427,3
logistic_regression,{'clasificador__C': 10.0},1.0,0.9719211822660098,0.0343982073893519,4
logistic_regression,{'clasificador__C': 100.0},1.0,0.9719211822660098,0.0343982073893519,4
